54 => 1-2-3-4-5-6-7-8-9-10-11-12-13-20-23 | 5:1 | 6:34 | 7:268 | 8:706 | 9:953 | 10:673 | 11:280 | 12:52 | 13:7 | 14:0 | 15:0
55 => 1-2-3-4-5-6-7-8-9-10-11-12-13-20-24 | 5:3 | 6:34 | 7:240 | 8:681 | 9:999 | 10:681 | 11:278 | 12:55 | 13:3 | 14:0 | 15:0
56 => 1-2-3-4-5-6-7-8-9-10-11-12-13-20-25 | 5:3 | 6:34 | 7:238 | 8:694 | 9:962 | 10:702 | 11:289 | 12:47 | 13:5 | 14:0 | 15:0
57 => 1-2-3-4-5-6-7-8-9-10-11-12-13-21-22 | 5:3 | 6:35 | 7:258 | 8:724 | 9:953 | 10:700 | 11:250 | 12:47 | 13:4 | 14:0 | 15:0
58 => 1-2-3-4-5-6-7-8-9-10-11-12-13-21-23 | 5:0 | 6:33 | 7:284 | 8:725 | 9:922 | 10:710 | 11:258 | 12:38 | 13:4 | 14:0 | 15:0
59 => 1-2-3-4-5-6-7-8-9-10-11-12-13-21-24 | 5:2 | 6:35 | 7:257 | 8:701 | 9:974 | 10:698 | 11:259 | 12:46 | 13:2 | 14:0 | 15:0
60 => 1-2-3-4-5-6-7-8-9-10-11-12-13-21-25 | 5:0 | 6:34 | 7:262 | 8:690 | 9:977 | 10:705 | 11:257 | 12:47 | 13:2 | 14:0 | 15:0
61 => 1-2-3-4-5-6-7-8-9-10-11-12-13-22-23 | 5:3 | 6:42 | 7:243 | 8:771 | 9:925 | 10:667 | 11:270 | 12:50 | 13:3 | 14:0 | 15:0
62 => 1-2-3-4-5-6-7-8-9-10-11-12-13-22-24 | 5:6 | 6:39 | 7:231 | 8:739 | 9:960 | 10:661 | 11:290 | 12:47 | 13:1 | 14:0 | 15:0
63 => 1-2-3-4-5-6-7-8-9-10-11-12-13-22-25 | 5:3 | 6:37 | 7:244 | 8:704 | 9:1001 | 10:650 | 11:280 | 12:53 | 13:2 | 14:0 | 15:0
64 => 1-2-3-4-5-6-7-8-9-10-11-12-13-23-24 | 5:3 | 6:40 | 7:248 | 8:736 | 9:962 | 10:662 | 11:263 | 12:57 | 13:2 | 14:1 | 15:0
65 => 1-2-3-4-5-6-7-8-9-10-11-12-13-23-25 | 5:1 | 6:42 | 7:238 | 8:759 | 9:936 | 10:664 | 11:283 | 12:43 | 13:8 | 14:0 | 15:0
66 => 1-2-3-4-5-6-7-8-9-10-11-12-13-24-25 | 5:3 | 6:39 | 7:231 | 8:723 | 9:957 | 10:677 | 11:301 | 12:41 | 13:2 | 14:0 | 15:0
67 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-16 | 5:3 | 6:41 | 7:273 | 8:723 | 9:952 | 10:692 | 11:245 | 12:42 | 13:3 | 14:0 | 15:0
68 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-17 | 5:3 | 6:46 | 7:255 | 8:724 | 9:939 | 10:717 | 11:241 | 12:44 | 13:5 | 14:0 | 15:0
69 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-18 | 5:3 | 6:41 | 7:263 | 8:695 | 9:959 | 10:728 | 11:239 | 12:43 | 13:3 | 14:0 | 15:0
70 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-19 | 5:4 | 6:40 | 7:278 | 8:680 | 9:971 | 10:700 | 11:254 | 12:44 | 13:2 | 14:1 | 15:0
71 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-20 | 5:2 | 6:58 | 7:243 | 8:665 | 9:958 | 10:730 | 11:273 | 12:41 | 13:4 | 14:0 | 15:0
72 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-21 | 5:4 | 6:46 | 7:256 | 8:713 | 9:946 | 10:703 | 11:269 | 12:34 | 13:2 | 14:1 | 15:0
73 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-22 | 5:3 | 6:46 | 7:258 | 8:714 | 9:953 | 10:691 | 11:255 | 12:50 | 13:4 | 14:0 | 15:0
74 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-23 | 5:2 | 6:51 | 7:280 | 8:701 | 9:924 | 10:711 | 11:257 | 12:44 | 13:4 | 14:0 | 15:0
75 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-24 | 5:3 | 6:38 | 7:263 | 8:701 | 9:962 | 10:701 | 11:254 | 12:43 | 13:9 | 14:0 | 15:0
76 => 1-2-3-4-5-6-7-8-9-10-11-12-14-15-25 | 5:1 | 6:46 | 7:269 | 8:668 | 9:964 | 10:717 | 11:259 | 12:48 | 13:2 | 14:0 | 15:0
77 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-17 | 5:1 | 6:39 | 7:281 | 8:714 | 9:967 | 10:680 | 11:251 | 12:36 | 13:4 | 14:1 | 15:0
78 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-18 | 5:4 | 6:31 | 7:284 | 8:707 | 9:953 | 10:714 | 11:238 | 12:41 | 13:1 | 14:1 | 15:0
79 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-19 | 5:2 | 6:45 | 7:273 | 8:708 | 9:961 | 10:702 | 11:229 | 12:51 | 13:3 | 14:0 | 15:0
80 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-20 | 5:4 | 6:48 | 7:250 | 8:706 | 9:922 | 10:731 | 11:276 | 12:36 | 13:1 | 14:0 | 15:0
81 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-21 | 5:2 | 6:40 | 7:282 | 8:713 | 9:939 | 10:704 | 11:260 | 12:31 | 13:3 | 14:0 | 15:0
82 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-22 | 5:2 | 6:40 | 7:279 | 8:714 | 9:942 | 10:710 | 11:241 | 12:42 | 13:4 | 14:0 | 15:0
83 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-23 | 5:1 | 6:41 | 7:309 | 8:705 | 9:926 | 10:685 | 11:260 | 12:45 | 13:2 | 14:0 | 15:0
84 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-24 | 5:2 | 6:39 | 7:269 | 8:709 | 9:961 | 10:704 | 11:238 | 12:48 | 13:4 | 14:0 | 15:0
85 => 1-2-3-4-5-6-7-8-9-10-11-12-14-16-25 | 5:2 | 6:43 | 7:265 | 8:710 | 9:953 | 10:683 | 11:278 | 12:36 | 13:4 | 14:0 | 15:0
86 => 1-2-3-4-5-6-7-8-9-10-11-12-14-17-18 | 5:2 | 6:39 | 7:266 | 8:702 | 9:971 | 10:701 | 11:239 | 12:48 | 13:5 | 14:1 | 15:0
